iter	RMSE
0	13853.71445
1	13109.22861
2	12475.50296
3	11913.82414
4	11438.1411
5	11011.43647
6	10655.05665
7	10348.28515
8	10087.12959
9	9854.833502
10	9650.997892
11	9473.545498
12	9323.354454
13	9187.778629
14	9074.11992
15	8968.461652
16	8860.387148
17	8777.265597
18	8689.970031
19	8623.644116
20	8556.520041
21	8502.590036
22	8448.93157
23	8396.320238
24	8346.997149
25	8306.506746
26	8267.986331
27	8227.485074
28	8195.70998
29	8162.596643
30	8130.528511
31	8101.917296
32	8074.813638
33	8051.959992
34	8026.481705
35	8006.085184
36	7982.436314
37	7956.970178
38	7937.175516
39	7907.258699
40	7885.652703
41	7867.030227
42	7849.204608
43	7828.726352
44	7813.339619
45	7796.473442
46	7777.445613
47	7764.351467
48	7751.476206
49	7733.027399
50	7720.703941
51	7702.424812
52	7685.897409
53	7669.237903
54	7656.13101
55	7645.104762
56	7634.916717
57	7618.808445
58	7604.49091
59	7589.851409
60	7578.988792
61	7567.748308
62	7555.330924
63	7541.013708
64	7525.958986
65	7515.810077
66	7507.456292
67	7498.167561
68	7491.659863
69	7478.956754
70	7468.472829
71	7451.982776
72	7441.115704
73	7430.05127
74	7422.536048
75	7415.469635
76	7405.111072
77	7398.455751
78	7392.922624
79	7385.803904
80	7378.224782
81	7368.814687
82	7358.423245
83	7352.368578
84	7342.328837
85	7333.912136
86	7327.440379
87	7316.315068
88	7305.167867
89	7297.376009
90	7292.851933
91	7284.020887
92	7277.062543
93	7271.037068
94	7265.933116
95	7258.045718
96	7251.076552
97	7244.33239
98	7238.78809
99	7233.371942
100	7227.666056
101	7220.398408
102	7213.904054
103	7207.090628
104	7201.404829
105	7195.772495
106	7190.350322
107	7183.324516
108	7178.593721
109	7173.766741
110	7168.934228
111	7162.024128
112	7150.169587
113	7143.545492
114	7136.506459
115	7129.518169
116	7126.121893
117	7120.616385
118	7116.155657
119	7112.041732
120	7105.45708
121	7097.485967
122	7091.551945
123	7087.065194
124	7083.151644
125	7078.420039
126	7072.426499
127	7068.8812
128	7061.862497
129	7058.39523
130	7052.839029
131	7045.809891
132	7042.404816
133	7036.786901
134	7031.253154
135	7027.170177
136	7023.265041
137	7019.830601
138	7014.785976
139	7010.363986
140	7005.716875
141	7002.318885
142	6996.573124
143	6990.876726
144	6985.740544
145	6982.524979
146	6977.098732
147	6974.55183
148	6970.692706
149	6965.753873
150	6960.537703
151	6954.127029
152	6950.836978
153	6944.945943
154	6941.404176
155	6937.9745
156	6932.832094
157	6930.060946
158	6924.851359
159	6922.095182
160	6916.42998
161	6911.494299
162	6909.201706
163	6905.370275
164	6903.009248
165	6899.007572
166	6895.622494
167	6892.516821
168	6887.014279
169	6883.734889
