iter	Passed	Remaining
0	171	85471
1	216	53928
2	249	41316
3	278	34565
4	308	30580
5	339	27972
6	370	26096
7	404	24852
8	440	24055
9	470	23071
10	499	22213
11	532	21671
12	560	20989
13	587	20411
14	616	19923
15	648	19607
16	686	19509
17	716	19193
18	748	18960
19	778	18686
20	810	18493
21	838	18223
22	866	17971
23	894	17746
24	926	17595
25	955	17427
26	986	17287
27	1023	17252
28	1056	17159
29	1087	17037
30	1115	16870
31	1143	16727
32	1173	16604
33	1207	16544
34	1240	16483
35	1271	16388
36	1301	16288
37	1331	16192
38	1360	16077
39	1392	16015
40	1429	16007
41	1458	15902
42	1484	15779
43	1515	15705
44	1543	15603
45	1569	15487
46	1597	15397
47	1625	15307
48	1657	15258
49	1689	15202
50	1724	15180
51	1757	15141
52	1785	15062
53	1815	14996
54	1840	14890
55	1867	14806
56	1894	14720
57	1922	14647
58	1948	14560
59	1976	14492
60	2012	14481
61	2044	14444
62	2086	14475
63	2130	14514
64	2174	14554
65	2211	14539
66	2239	14476
67	2264	14385
68	2289	14300
69	2320	14255
70	2349	14194
71	2378	14136
72	2403	14056
73	2431	13995
74	2457	13926
75	2482	13849
76	2511	13797
77	2537	13726
78	2561	13650
79	2583	13565
80	2613	13520
81	2641	13467
82	2671	13421
83	2698	13366
84	2726	13310
85	2755	13267
86	2785	13221
87	2822	13212
88	2857	13197
89	2889	13163
90	2916	13109
91	2945	13064
92	2975	13023
93	3002	12969
94	3038	12953
95	3067	12908
96	3106	12906
97	3140	12880
98	3172	12850
99	3200	12803
100	3227	12751
101	3254	12697
102	3281	12649
103	3310	12605
104	3338	12559
105	3368	12521
106	3399	12485
107	3429	12446
108	3453	12389
109	3480	12340
110	3511	12305
111	3536	12252
112	3566	12214
113	3592	12163
114	3617	12109
115	3642	12058
116	3668	12008
117	3692	11952
118	3715	11895
119	3739	11842
120	3767	11801
121	3796	11761
122	3821	11711
123	3844	11658
124	3868	11606
125	3896	11564
126	3919	11512
127	3944	11462
128	3975	11432
129	4000	11386
130	4028	11347
131	4057	11312
132	4086	11275
133	4113	11234
134	4142	11199
135	4169	11158
136	4192	11109
137	4221	11073
138	4248	11032
139	4272	10986
140	4300	10948
141	4324	10901
142	4352	10866
143	4375	10818
144	4401	10776
145	4422	10723
146	4453	10694
147	4476	10646
148	4501	10603
149	4526	10562
150	4553	10524
151	4580	10486
152	4603	10441
153	4629	10401
154	4654	10360
155	4681	10323
156	4706	10282
157	4729	10237
158	4754	10196
159	4778	10154
160	4803	10113
161	4829	10075
162	4852	10033
163	4877	9992
164	4900	9949
165	4925	9910
166	4948	9867
167	4973	9828
168	5000	9793
169	5025	9754
170	5048	9713
171	5072	9672
172	5096	9633
173	5119	9591
174	5140	9547
175	5165	9508
176	5188	9468
177	5211	9427
178	5237	9392
179	5260	9352
180	5283	9311
181	5307	9273
182	5326	9226
183	5348	9186
184	5372	9147
185	5393	9105
186	5417	9067
187	5452	9048
188	5477	9013
189	5498	8970
190	5522	8933
191	5544	8893
192	5567	8856
193	5589	8816
194	5611	8777
195	5637	8744
196	5658	8703
197	5681	8665
198	5708	8634
199	5735	8603
200	5760	8568
201	5785	8534
202	5811	8501
203	5838	8470
204	5863	8437
205	5890	8406
206	5914	8372
207	5939	8338
208	5962	8301
209	5987	8267
210	6013	8237
211	6042	8208
212	6065	8172
213	6086	8134
214	6114	8105
215	6138	8071
216	6168	8044
217	6189	8006
218	6210	7969
219	6231	7931
220	6253	7894
221	6275	7858
222	6299	7824
223	6321	7789
224	6344	7753
225	6365	7717
226	6386	7680
227	6406	7642
228	6429	7608
229	6450	7572
230	6473	7538
231	6497	7505
232	6520	7472
233	6548	7444
234	6571	7410
235	6595	7377
236	6614	7340
237	6636	7306
238	6661	7274
239	6688	7245
240	6711	7212
241	6732	7177
242	6753	7142
243	6778	7111
244	6797	7074
245	6823	7045
246	6847	7014
247	6872	6983
248	6898	6953
249	6919	6919
250	6939	6884
251	6961	6851
252	6983	6817
253	7005	6785
254	7030	6754
255	7052	6722
256	7074	6689
257	7094	6654
258	7116	6622
259	7138	6589
260	7161	6557
261	7184	6526
262	7211	6498
263	7234	6466
264	7259	6438
265	7282	6406
266	7307	6376
267	7331	6346
268	7354	6315
269	7378	6284
270	7404	6256
271	7429	6227
272	7451	6195
273	7476	6166
274	7501	6137
275	7524	6107
276	7545	6074
277	7567	6042
278	7591	6013
279	7615	5983
280	7640	5954
281	7659	5921
282	7682	5890
283	7705	5860
284	7728	5830
285	7749	5798
286	7771	5767
287	7794	5737
288	7817	5707
289	7837	5675
290	7857	5643
291	7874	5609
292	7893	5576
293	7916	5546
294	7940	5517
295	7960	5486
296	7984	5457
297	8006	5427
298	8028	5396
299	8050	5367
300	8073	5337
301	8095	5307
302	8117	5277
303	8138	5247
304	8162	5218
305	8184	5189
306	8206	5159
307	8227	5128
308	8251	5100
309	8272	5070
310	8295	5041
311	8319	5012
312	8342	4983
313	8365	4955
314	8386	4925
315	8409	4896
316	8432	4868
317	8457	4840
318	8477	4810
319	8499	4781
320	8520	4751
321	8543	4722
322	8563	4692
323	8582	4661
324	8602	4632
325	8624	4603
326	8647	4574
327	8666	4544
328	8688	4515
329	8711	4487
330	8730	4457
331	8747	4426
332	8765	4395
333	8784	4365
334	8801	4335
335	8819	4304
336	8838	4275
337	8857	4245
338	8877	4215
339	8895	4186
340	8915	4156
341	8932	4126
342	8949	4096
343	8967	4066
344	8986	4037
345	9011	4010
346	9035	3983
347	9058	3956
348	9082	3929
349	9110	3904
350	9136	3878
351	9162	3852
352	9184	3824
353	9207	3797
354	9230	3770
355	9252	3742
356	9278	3716
357	9299	3688
358	9323	3661
359	9345	3634
360	9366	3606
361	9388	3579
362	9408	3551
363	9430	3523
364	9453	3496
365	9473	3468
366	9495	3441
367	9519	3414
368	9549	3390
369	9576	3364
370	9613	3342
371	9647	3319
372	9730	3313
373	9774	3292
374	9801	3267
375	9827	3241
376	9855	3215
377	9881	3189
378	9907	3163
379	9931	3136
380	9953	3108
381	9977	3082
382	10006	3056
383	10033	3030
384	10058	3004
385	10088	2979
386	10117	2954
387	10143	2928
388	10171	2902
389	10198	2876
390	10223	2850
391	10246	2823
392	10270	2796
393	10293	2769
394	10317	2742
395	10338	2715
396	10359	2687
397	10377	2659
398	10396	2631
399	10419	2604
400	10443	2578
401	10466	2551
402	10494	2525
403	10521	2500
404	10547	2474
405	10571	2447
406	10599	2421
407	10623	2395
408	10652	2370
409	10675	2343
410	10701	2317
411	10727	2291
412	10756	2265
413	10776	2238
414	10801	2212
415	10824	2185
416	10864	2162
417	10889	2136
418	10914	2109
419	10938	2083
420	10964	2057
421	10987	2030
422	11015	2005
423	11039	1978
424	11071	1953
425	11099	1928
426	11126	1902
427	11151	1876
428	11176	1849
429	11201	1823
430	11227	1797
431	11252	1771
432	11278	1745
433	11304	1719
434	11328	1692
435	11351	1666
436	11376	1640
437	11401	1613
438	11426	1587
439	11450	1561
440	11474	1535
441	11499	1508
442	11526	1483
443	11557	1457
444	11584	1431
445	11612	1405
446	11637	1379
447	11665	1354
448	11690	1327
449	11713	1301
450	11738	1275
451	11761	1249
452	11786	1222
453	11818	1197
454	11846	1171
455	11873	1145
456	11900	1119
457	11928	1093
458	11958	1068
459	11995	1043
460	12026	1017
461	12055	991
462	12096	966
463	12120	940
464	12146	914
465	12171	888
466	12196	861
467	12220	835
468	12245	809
469	12273	783
470	12302	757
471	12327	731
472	12355	705
473	12374	678
474	12399	652
475	12424	626
476	12446	600
477	12470	573
478	12496	547
479	12522	521
480	12543	495
481	12565	469
482	12592	443
483	12618	417
484	12644	391
485	12667	364
486	12691	338
487	12713	312
488	12738	286
489	12762	260
490	12785	234
491	12811	208
492	12834	182
493	12855	156
494	12883	130
495	12910	104
496	12935	78
497	12961	52
498	12990	26
499	13013	0
